job_title,company,location,salary,tags
Senior Golang Software Engineer CIS Data Services,Centripetal,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Software,Senior"
Software Engineer Product,Prelim,Chicago,💰 $58k - $100k*,"Engineering,Software,Financial,Growth,Node. JS,React,Technical,Banking"
Software Engineer Product,Prelim,🇺🇸 United States,💰 $58k - $100k*,"Engineering,Software,Financial,Growth,Node. JS,React,Technical,Banking"
Full Stack Software Engineer,Senior Sign,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Software,Senior"
Staff Backend Engineer Messaging Platform,Postscript,🌏 Probably worldwide,💰 $55k - $100k*,"Golang,Ecommerce,Backend,Marketing,Shopify"
Senior Security Engineer Enterprise Security,Airbnb,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Senior,Security"
Software Engineer,Spacelift,🌏 Probably worldwide,💰 $63k - $105k*,"Golang,Software"
Senior Software Engineer Identity,Alpaca,🇺🇸 United States,💰 $58k - $98k*,"Engineering,Software,Financial,Cloud,Senior,Support,Management,Backend,Test,Finance,Code,Technical,Reliability,Design,System"
Senior AI Engineer,Awin,🇩🇪 Germany,💰 $55k - $100k*,"Engineering,Software,Health,Cloud,Senior,Support,Python,Technical,Junior,Design,System,Chatbot"
Backend Engineer,Fathom,🌏 Probably worldwide,💰 $60k - $110k*,"Golang,Backend"
Lead Software Engineer Platform,Alpaca,🇧🇬 Bulgaria,💰 $35k - $55k*,"Engineering,Software,Testing,Architect,Lead,Code,Go,Docker,Design"
Staff Software Engineer,Applied Systems,🌏 Probably worldwide,💰 $63k - $105k*,"Golang,Software,Leader,Engineering"
Senior Software Engineer Backend,Fullstory,🌏 Probably worldwide,💰 $65k - $110k*,"Golang,Software,Backend,Senior"
Senior Backend Golang Engineer Mailgun Send,Mailgun,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Backend,Senior"
Job 19004 Junior Quality Assurance Engineer Brazil,CI&T,"Campinas, SP",💰 $55k - $100k*,"Engineering,Software,Support,Mobile,Java,Testing,Test,DevOps,Health,Quality Assurance,Junior"
Senior Technical Product Support Engineer,RefleXion Medical,🇺🇸 United States,💰 $55k - $100k*,"Engineering,Software,Leader,Financial,Executive,Senior,Support,Management,Analytics,Technical,Healthcare,Salesforce,Training,Travel,System"
Senior Product Engineer,PredictionHealth,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Senior"
Protocol Engineer,Nimbus,🇮🇳 India,💰 $60k - $100k*,"Software,Embedded,Senior,Developer,Mobile,Ethereum,Web"
Backend Engineer Developer SDKs Golang expert,Stripe,🌏 Probably worldwide,💰 $65k - $110k*,"Golang,Developer,Backend,Financial"
Lead Software Engineer Sandbox,Recorded Future,🇸🇪 Sweden,💰 $60k - $100k*,"Software,Back-End,Lead,Web"
