job_title,company,location,salary,tags
Senior Golang Software Engineer CIS Data Services,Centripetal,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Software,Senior"
Software Engineer Product,Prelim,Chicago,💰 $58k - $100k*,"Banking,Software,React,Node. JS,Technical,Growth,Engineering,Financial"
Software Engineer Product,Prelim,🇺🇸 United States,💰 $58k - $100k*,"Banking,Software,React,Node. JS,Technical,Growth,Engineering,Financial"
Full Stack Software Engineer,Senior Sign,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Software,Senior"
Staff Backend Engineer Messaging Platform,Postscript,🌏 Probably worldwide,💰 $55k - $100k*,"Golang,Shopify,Marketing,Ecommerce,Backend"
Senior Security Engineer Enterprise Security,Airbnb,🌏 Probably worldwide,💰 $70k - $110k*,"Senior,Golang,Security"
Software Engineer,Spacelift,🌏 Probably worldwide,💰 $63k - $105k*,"Golang,Software"
Senior Software Engineer Identity,Alpaca,🇺🇸 United States,💰 $58k - $98k*,"Test,Software,Code,Support,Finance,Design,Senior,Reliability,Technical,System,Management,Engineering,Financial,Backend,Cloud"
Senior AI Engineer,Awin,🇩🇪 Germany,💰 $55k - $100k*,"Python,Health,Chatbot,Software,Support,Design,Senior,Technical,System,Engineering,Junior,Cloud"
Backend Engineer,Fathom,🌏 Probably worldwide,💰 $60k - $110k*,"Golang,Backend"
Lead Software Engineer Platform,Alpaca,🇧🇬 Bulgaria,💰 $35k - $55k*,"Lead,Architect,Software,Code,Go,Design,Docker,Engineering,Testing"
Staff Software Engineer,Applied Systems,🌏 Probably worldwide,💰 $63k - $105k*,"Leader,Golang,Software,Engineering"
Senior Software Engineer Backend,Fullstory,🌏 Probably worldwide,💰 $65k - $110k*,"Golang,Backend,Software,Senior"
Senior Backend Golang Engineer Mailgun Send,Mailgun,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Backend,Senior"
Job 19004 Junior Quality Assurance Engineer Brazil,CI&T,"Campinas, SP",💰 $55k - $100k*,"Health,Test,DevOps,Software,Support,Java,Engineering,Quality Assurance,Mobile,Junior,Testing"
Senior Technical Product Support Engineer,RefleXion Medical,🇺🇸 United States,💰 $55k - $100k*,"Salesforce,Training,Software,Leader,Support,Executive,Travel,Analytics,Senior,Healthcare,Technical,System,Management,Engineering,Financial"
Senior Product Engineer,PredictionHealth,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Senior"
Protocol Engineer,Nimbus,🇮🇳 India,💰 $60k - $100k*,"Embedded,Software,Web,Senior,Ethereum,Developer,Mobile"
Backend Engineer Developer SDKs Golang expert,Stripe,🌏 Probably worldwide,💰 $65k - $110k*,"Backend,Golang,Developer,Financial"
Lead Software Engineer Sandbox,Recorded Future,🇸🇪 Sweden,💰 $60k - $100k*,"Web,Lead,Back-End,Software"
