job_title,company,location,salary,tags
Senior Golang Software Engineer CIS Data Services,Centripetal,🌏 Probably worldwide,💰 $70k - $110k*,"Engineer,Golang,Software"
Guidewire Project Manager,Argo Group,🇺🇸 United States,💰 $55k - $85k*,"Support,Design,Technical,Growth,System,Manager,Management,Operational"
Full Stack Software Engineer,Senior Sign,🌏 Probably worldwide,💰 $70k - $110k*,"Engineer,Golang,Software"
Product Manager Facility Management Software,Storable,🇺🇸 United States,💰 $80k - $120k*,"Strategy,Scrum,Lead,Software,Executive,Design,Manager,Management,Engineering,Financial,SaaS"
Guidewire Project Manager,Argo Group,🇺🇸 United States,💰 $55k - $85k*,"Support,Design,Technical,Growth,System,Manager,Management,Operational"
Systems Administrator,PointClickCare,Remote or Mississauga,💰 $40k - $95k*,"Recruiter,Lead,Software,Support,Administrator,Travel,Applescript,Reliability,Technical,Healthcare,System,Management,Security,Operational,Cloud"
Senior Go Developer,Sincere,🌏 Probably worldwide,💰 $75k - $115k*,"Golang,Developer,Go"
Job 19029 Senior Developer FullStack Brasil,CI&T,🌏 Probably worldwide,💰 $50k - $80k*,"E-Commerce,Fullstack,Web,Firebase,React,Java,CSS,Mobile,Developer,Testing,HTML"
Senior Security Engineer Enterprise Security,Airbnb,🌏 Probably worldwide,💰 $70k - $110k*,"Engineer,Golang,Security"
Senior Go backend Developer,Cycloid,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Software,Developer,Full-Time,Backend,Go"
Senior Software Engineer Identity,Alpaca,🇺🇸 United States,💰 $58k - $98k*,"Test,Software,Code,Support,Finance,Design,Reliability,Technical,System,Management,Engineering,Engineer,Financial,Backend,Cloud"
Senior AI Engineer,Awin,🇩🇪 Germany,💰 $55k - $100k*,"Python,Health,Chatbot,Software,Support,Design,Technical,System,Engineering,Engineer,Junior,Cloud"
Job 19056 Junior UI Designer Brazil,CI&T,🇧🇷 Brazil,💰 $35k - $60k*,"Designer,Health,Support,UX,Design,Engineering,UI,Junior,Testing"
Junior Recruiter,1840 & Company,"Mexico City, Mexico City",💰 $80k - $120k*,"Recruiter,Video,Leader,Recruitment,Growth,Junior"
Lead .NET Developer,Capco,🌏 Probably worldwide,💰 $63k - $103k*,"Recruiter,Lead,DevOps,Software,Code,C#,Finance,Recruitment,Front End,Technical,Growth,Management,Security,Financial,Developer,Cloud"
Senior Go Developer,Cycloid,🌏 Probably worldwide,💰 $75k - $115k*,"Golang,Software,Full-Time,Developer,Go"
Account Executive,"Definitive Healthcare, US",🇺🇸 United States,💰 $65k - $105k*,"Sales,Support,Executive,Growth"
Senior Software Engineer Backend,Fullstory,🌏 Probably worldwide,💰 $65k - $110k*,"Engineer,Golang,Backend,Software"
Senior Backend Golang Engineer Mailgun Send,Mailgun,🌏 Probably worldwide,💰 $70k - $110k*,"Engineer,Golang,Backend"
