job_title,company,location,salary,tags
Staff Software Development Engineer,FIS Management Services LLC,US WA GRT SEA Virtual,💰 $58k - $93k*,"Full-Stack,Consult,Cloud,Security,Python,Software,Engineering,Recruitment,Technical,Financial,UI,Investment,Operational,Edu,Full-Time,Design,Recruiter,API,Web,Banking,React,Backend,Junior,Engineer"
Executive Assistant,Uniswap Labs,🇺🇸 United States,💰 $100k - $120k*,"Coo,Ethereum,Health,Executive,Assistant,Lead,Edu,Ceo,Travel,Support,Mobile,Full-Time"
UX UI Designer,Denver Broncos and Stadium Management Company,🌏 Probably worldwide,💰 $55k - $100k*,"Management,Code,Mobile,Copywriting,UI,iOS,Analytics,UX,System,Design,Content,HTML,Photoshop,Android,Web,Game,Manager,Illustrator,CSS,Designer"
UX UI Designer,Denver Broncos and Stadium Management Company,🌏 Probably worldwide,💰 $55k - $100k*,"Management,Code,Mobile,Copywriting,UI,iOS,Analytics,UX,System,Design,Content,HTML,Photoshop,Android,Web,Game,Manager,Illustrator,CSS,Designer"
Backend Software Engineer Specialist,FIS Management Services LLC,US WA SEA Virtual,💰 $60k - $103k*,"Consult,Cloud,Security,Python,Software,Engineering,Recruitment,Technical,Financial,Code,Growth,Embedded,Operational,Edu,Full-Time,Design,Recruiter,API,Finance,Banking,Backend,Junior,Fintech,Engineer"
Executive Assistant,Tensor,🌏 Probably worldwide,💰 $90k - $120k*,"Banking,Senior,Investment,Executive,Assistant,Management,SaaS,Travel,Support,Web3,Operations"
Executive Administrative Assistant,ACI Flooring,🇺🇸 United States,N/A,"Customer Support,Quality Assurance,Sales,Remote,Marketing,Full Time,Non Tech"
Product Design Manager,Chime,🌏 Probably worldwide,💰 $70k - $115k*,"Finance,Fintech,Banking,UX,Health,Music,Bank,Director,Manager,Lead,Support,Teaching,Web,Financial,Mobile,Full-Time,Design,Designer"
Executive Assistant Job Share London,Zepz,🌏 Probably worldwide,💰 $48k - $85k*,"Admin,Executive,Assistant,Video,Travel,Support,Part-Time,Full-Time"
Ecosystem Success Manager,Sei Labs,Remote / Global,💰 $90k - $148k*,"Defi,Growth,Gaming,Crypto,NFT,Manager,Marketing,Voice,Strategy"
Executive Assistant Payer,Datavant,🌏 Probably worldwide,💰 $60k - $120k*,"Growth,Health,Recruitment,Executive,Assistant,Management,Manager,Travel,Support,System,Healthcare"
Group Product Manager Cash Advance,Cleo,🇬🇧 United Kingdom,💰 $60k - $120k*,"Finance,Senior,Leader,Health,Management,Lead,Founder,Manager,Support,Financial,Strategy,Fintech"
Senior CRM Manager Credit,Careers at Tide,🇬🇧 United Kingdom,💰 $55k - $110k*,"Management,Technical,Financial,Growth,Admin,Operational,Scheme,Marketing,Test,Design,Senior,Health,HTML,Support,Voice,Strategy,Finance,Banking,Testing,Manager,Fintech"
Social Media Manager Temporary,Digital Media Management,💰 $30k - $120k*,N/A,"Growth,Video,Management,Manager,Marketing,Voice,Copywriting,Strategy,Content"
Account Executive,Attest,🇬🇧 United Kingdom,💰 $53k - $113k*,"Growth,Executive,SaaS,Support,Sales,Marketing,Salesforce"
